questionID,ClusterID
1,3
2,1
3,3
4,2
5,2
6,1
7,2
8,2
9,2
10,1
11,1
12,3
13,1
14,3
15,2
16,2
17,1
18,2
19,1
20,3
21,2
22,1
23,2
24,1
25,2
26,2
27,1
28,2
29,1
30,1
31,3
32,2
33,2
34,2
35,2
36,2
37,3
38,1
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,1
48,3
49,2
50,2
51,2
52,2
53,3
54,1
55,3
56,2
57,3
58,3
59,1
60,2
61,1
62,2
63,1
64,2
65,2
66,1
67,1
68,1
69,1
70,1
71,1
72,2
73,3
74,2
75,2
76,3
77,3
78,3
79,3
80,1
81,1
82,1
83,1
84,3
85,3
86,2
87,3
88,3
89,1
90,3
91,2
92,1
93,1
94,3
95,1
96,2
97,3
98,1
99,3
100,2
101,3
102,2
103,1
104,1
105,3
106,3
107,2
108,1
109,2
110,1
111,1
112,1
113,1
114,3
115,1
116,2
117,1
118,1
119,3
120,3
121,2
122,1
123,2
124,2
125,3
126,1
127,1
128,1
129,3
130,2
131,1
132,3
133,3
134,1
135,2
136,1
137,2
138,1
139,1
140,1
141,3
142,2
143,3
144,2
145,1
146,1
147,1
148,1
149,1
150,2
151,3
152,3
153,3
154,3
155,2
156,1
157,3
158,3
159,2
160,2
161,1
162,3
163,2
164,1
165,1
166,1
167,1
168,2
169,3
170,2
171,2
172,3
173,1
174,3
175,1
176,1
177,3
178,2
179,3
180,2
181,3
182,1
183,2
184,1
185,2
186,2
187,3
188,3
189,1
190,2
191,1
192,2
193,1
194,2
195,1
196,2
197,3
198,3
199,3
200,2
201,2
202,1
203,3
204,3
205,3
206,2
207,1
208,2
209,2
210,2
211,2
212,1
213,2
214,2
215,2
216,3
217,1
218,3
219,1
220,3
221,2
222,1
223,1
224,3
225,2
226,2
227,3
228,1
229,3
230,1
231,1
232,3
233,2
234,1
235,1
236,1
237,3
238,1
239,3
240,1
241,1
242,3
243,2
244,3
245,2
246,1
247,3
248,2
249,1
250,3
251,2
252,3
253,1
254,3
255,1
256,1
257,2
258,3
259,2
260,1
261,2
262,1
263,2
264,1
265,2
266,1
267,1
268,1
269,1
270,2
271,2
272,1
273,2
274,3
275,3
276,1
277,1
278,1
279,3
280,3
281,2
282,2
283,3
284,2
285,2
286,3
287,1
288,2
289,3
290,1
291,1
292,2
293,3
294,2
295,2
296,1
297,3
298,2
299,2
300,1
301,1
302,1
303,2
304,3
305,1
306,2
307,2
308,2
309,2
310,2
311,3
312,3
313,2
314,1
315,3
316,1
317,3
318,3
319,1
320,2
321,1
322,3
323,2
324,2
325,1
326,3
327,3
328,1
329,2
330,1
331,1
332,1
333,1
334,2
335,1
336,2
337,3
338,2
339,2
340,1
341,1
342,1
343,2
344,1
345,2
346,2
347,2
348,3
349,2
350,1
351,1
352,2
353,1
354,2
355,3
356,1
357,1
358,2
359,3
360,2
361,1
362,1
363,3
364,1
365,2
366,3
367,2
368,3
369,3
370,3
371,1
372,2
373,1
374,1
375,1
376,1
377,2
378,1
379,3
380,2
381,3
382,2
383,2
384,3
385,2
386,1
387,1
388,1
389,3
390,1
391,3
392,1
393,1
394,1
395,3
396,2
397,2
398,2
399,1
400,2
401,2
402,2
403,3
404,3
405,2
406,2
407,1
408,2
409,3
410,2
411,2
412,2
413,3
414,1
415,2
416,3
417,1
418,2
419,1
420,1
421,1
422,2
423,2
424,3
425,3
426,3
427,3
428,1
429,3
430,3
431,3
432,1
433,3
434,1
435,2
436,1
437,1
438,1
439,3
440,3
441,2
442,1
443,1
444,3
445,3
446,1
447,1
448,2
449,2
450,1
451,3
452,3
453,2
454,2
455,2
456,2
457,2
458,1
459,1
460,2
461,3
